super category,category,sub category,brand,Priority,Expected Date
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Hair Care,Colab,2,
Electronics,Cameras and Photography,Camera Accessories,Goextreme,1,
Electronics,Gaming and Accessories,Gaming Titles,Warnerbros,1,
Home and Kitchen,Home Tools,Home Improvement,Dotz,3,
Fashion,Womens accessories,Watches,Heloisa,2,
Electronics,Mobiles and Tablets,Tablet Accessories,ILUV,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Dolce & Gabbana,2,
Home and Kitchen,Small Appliances,Gas Stoves,Sonashi,3,
Fashion,Mens Clothing,Polo Shirts,Fritzberg,2,
Home and Kitchen,Home Décor,Showpieces,Dubai Heroes,3,
Electronics,"TVs, Audio and Video",TV and AV Accessories,ION Audio,1,
Electronics,"TVs, Audio and Video",TV and AV Accessories,Beecool,1,
Electronics,"TVs, Audio and Video",Speakers,Trevi,1,
Fashion,Women Clothing,Swimwear and Beachwear,Rapz,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Urban Decay,2,
Home and Kitchen,Home Tools,Home Improvement,Powercube,3,
Electronics,"TVs, Audio and Video",Speakers,Divoom Wless,1,
Fashion,Mens Clothing,Shorts,Mr Button,2,
Automotive,Car Audio and GPS,Car Speakers,Sony,3,
Fashion,Mens Clothing,Hoodies & Sweatshirts,Starter,2,
Fashion,Mens Clothing,Hoodies & Sweatshirts,Cross Hatch,2,
Home and Kitchen,Kitchen Appliances,Electric Kettles,KORONA / GERMANY,3,
Fashion,Mens Clothing,Jeans,Incult,2,
Fashion,Mens Clothing,Jeans,Tagd New York,2,
Fashion,Mens Clothing,Pants & Chinos,!Solid,2,
"Beauty, Personal Care and Fragrances",Fragrances,Home fragrances and Candles,Jathibia World,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Itech,1,
Electronics,"TVs, Audio and Video",Speakers,Cygnett,1,
Fashion,Mens Accessories,Watches,PHILIPPE MARCE,2,
Home and Kitchen,Small Appliances,Coffee Makers,Knewood,3,
Home and Kitchen,Small Appliances,Others,Ribon,3,
Home and Kitchen,Kitchen Appliances,Electric Kettles,Emjoi Power,3,
Fashion,Womens Clothing,Maternity Clothing,House of Napius,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Capri,2,
Fashion,Women Clothing,Pants & Leggings,Ginger,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Clinique,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Boucheron,2,
Fashion,Mens Clothing,Pants & Chinos,Cross Hatch,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,urbanista,1,
Fashion,Mens Clothing,Shorts,IRON FIST ATHLETIC,2,
