super category,category,sub category,brand,Priority,Expected Date
Fashion,Women Clothing,Lingerie & Nightwear,Marie Meili,2,
Electronics,"TVs, Audio and Video",TV and AV Accessories,Sandberg,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Avantree,1,
Fashion,Women Clothing,T-shirts & Vests,MB,2,
Automotive,Car Accessories,Car Care Products,Stoner,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Smart Fuel,1,
Electronics,Cameras and Photography,Camera Accessories,Gopro,1,
Electronics,Cameras and Photography,Camera Accessories,KenKo,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Vox,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Iceberg,2,
Home and Kitchen,Kitchenware,Kitchen Tools,KORONA / GERMANY,3,
Electronics,Mobiles and Tablets,Tablet Accessories,RivaCase,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Nakamichi,1,
Electronics,Mobiles and Tablets,Mobile Accessories,EMTEC,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Kardashian Beauty,2,
Fashion,Mens Clothing,Polo Shirts,Ruggers,2,
"Toys, Kids and Baby",Toys and Activities,Soft Toys,SMANIMALS,3,
Fashion,Womens accessories,Jewellery,Jana Imaan,2,
Home and Kitchen,Kitchenware,Kitchen Tools,Sonashi,3,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Bandi,2,
Electronics,Gaming and Accessories,Gaming Accessories,A4TECH,1,
Fashion,Women Clothing,Pants & Leggings,Rattrap,2,
Fashion,Women Clothing,Jackets & Coats,Senora,2,
Fashion,Women Clothing,Skirts,Xniva,2,
Fashion,Mens Clothing,Polo Shirts,Stilo,2,
Home and Kitchen,Kitchenware,Tiffin and Flasks,Wysada,3,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Alessandro,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Ciate,2,
Electronics,Mobiles and Tablets,Mobile Accessories,PowerUp,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Lottie,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Hair Care,Finan,2,
Automotive,Car Accessories,Interior Accessories,iWalk,3,
Home and Kitchen,Kitchenware,Bar and Glassware,Basicxx,3,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Beecool,1,
Home and Kitchen,Kitchenware,Dining and Serving,Basicxx,3,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Dmgm,2,
"Toys, Kids and Baby",Toys and Activities,Dolls and Doll Houses,Simba,3,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Logitech,1,
"Toys, Kids and Baby",Toys and Activities,Activity Sets,INTEX,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Hoco,1,
Electronics,"Computers, Laptops and Storage",Computer Accessories,TwinMOS,1,
"Toys, Kids and Baby",Toys and Activities,Art and Crafts,Simba,3,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Bath and Body,DELIA,2,
"Health, Nutrition and Sports",Health,Health Devices,Elekta,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Booq,1,
Electronics,Mobiles and Tablets,Mobiles & Tablets,Brand 2,1,
"Toys, Kids and Baby",Baby and Toddlers,Baby Bath and Skin,Pampers,3,
Home and Kitchen,Home Décor,Lamps and Lightings,SONASHI,3,
Home and Kitchen,Small Appliances,Ovens and OTGs,SONASHI,3,
